Category,No.,Type,Description,Recommendation
Access Control,1,Arbitrary `from` in transferFrom() without msg.sender Check,Detect when `msg.sender` is not used as `from` in `transferFrom` and does not have a modifier that has `msg.sender` check.,"Use `msg.sender` as `from` in `transferFrom`, or add a modifier with `msg.sender` check."
Access Control,2,Call to Arbitrary Addresses with Unchecked Calldata,Call to arbitrary addresses with malicious calldata may incur unexpected behavior.,Check the target address and calldata when use call
Access Control,3,Caller Not Checked,"The opcode extcodesize of the caller contract is always zero if the call is from a constructor, though the caller is genuinely a contract account. It results in a false positive when checking whether the caller is a contract account.","Not solely take codesize of account to distinguish a contract account from an external one. For example, give thought to `tx.origin`."
Access Control,4,Contract Could be Destructed,Detects logic contract that can be destructed.,Add a constructor to ensure `initialize` cannot be called on the logic contract.
Access Control,5,Dangerous Immediate Initialization of State Variables,Detects the immediate initialization of state variables through function calls that are not pure/constant or use non-constant state variables.,"Remove any initialization of state variables via non-constant state variables or function calls. If variables must be set upon contract deployment, locate initialization in the constructor instead."
Access Control,6,Dangerous Usage of `tx.origin`,It is not recommended to use `tx.origin` for authorization. `tx.origin` based protection can be abused by a malicious contract if a legitimate user interacts with the malicious contract.,Do not use `tx.origin` for authorization.
Access Control,7,Default Function Visibility,"Functions that do not have a function visibility type specified are public by default, Which can lead to a vulnerability if a developer forgets to set the visibility. A malicious user can make unauthorized or unintended state changes.","Functions can be specified as being external, public, internal or private. It is recommended to make a conscious decision on which visibility type is appropriate for a function, which can dramatically reduce the attack surface of a contract system."
Access Control,8,Initializing Method without Permission Check,Initialize method of the protocol without permission check might be manipulated by hackers.,Initialize method should has a permission check
Access Control,9,Method permit() Used for Arbitrary `from` in transferFrom(),"Method `permit` is used in ERC20 token, which is used to change an account's ERC20 allowance by presenting a message signed by the account. By not relying on `approve` method, the token holder account doesn't need to send a transaction. When we use this method in `transferFrom` and `msg.sender` is not used as from in transferFrom. If an ERC20 token does not implement `permit` and has a fallback function, `transferFrom` allows an attacker to transfer all tokens approved for this contract.",Ensure that the underlying ERC20 token correctly implements a permit function.
Access Control,10,Missing `msg.sender` Check for transferFrom(),"When we use the `ERC20` method `transferFrom`, the parameter from should be carefully checked. It shouldn't be an arbitrary address that may lead to someone `transfer` anyone's token to himself.  So we, for instance, should detect whether `msg.sender` was used as `from` in transferFrom.",Use `msg.sender` to check the parameter `from` in transferFrom.
Access Control,11,Missing Input Validation,"In solidity, there is no ""null"" equivalent. So we should know every default value for different value types. Meanwhile, we should validate the value passed to state variable. So, for example, when we assign an address type, we should check the value to ensure it's not a zero address.",Validate input value.
Access Control,12,Sending Ether to Arbitrary Destinations,"When we use function `call` to send ether, the target address should be carefully checked, and an arbitrary address may lead to exploitability.",Ensure that an arbitrary user cannot withdraw unauthorized funds.
Access Control,13,Unprotected Contract Destruction,"`selfdestruct`/`suicide` are keywords used to terminate a contract, remove the bytecode from the Ethereum blockchain, and send any contract funds to a specified address. We primarily use the `selfdestruct` function to improve smart contract code security, clean up unused contracts and transfer Ethereum assets quickly. However, `selfdestruct` is a double-edged sword, this function gives an easier avenue for a projectâ€™s core team to rug their users or community, and assets like `ERC20/ERC721` will never be recovered once `selfdestruct` is called.",We should use `selfdestruct` carefully and add protections to this kind of function call.
Access Control,14,Unprotected Ether Withdrawal,"Because of missing or insufficient access controls, like unintentionally exposing the initialization functions, no subtraction of balance after the refund is called, and wrong comparison operator in withdraw function, some or all Ethers from the contract account can be withdrawn by malicious parties.",Design and implement controls for withdrawals so that only authorized parties can access them.
Access Control,15,Unsafe Delegatecall,"`delegatecall` is different from `call`. When using `delegatecall`, the code at the target address is executed in the current contract context, which means it will change the current contract's storage, which may lead to an unexpected result. So the target address should be carefully checked before using it.","Use `delegatecall` with caution, and use only trusted destinations. In addition, the storage data structure should be checked between the proxy and target contract."
Access Control,16,Unused Return Value,"Either the return value of an external call is not stored in a local or state variable, or the return value is declared but never used in the function body.",Ensure the return value of external function calls is used. Remove or comment out the unused return function parameters.
Access Control,17,Usage of public mint or burn,"Public mint or burn method are dangerous for token, anyone can manipulate token balance which may lead to negative effects.",Add permission check for mint() or burn() methods.
Access Control,18,Write to Arbitrary Storage Location,"A smart contract's state variables are persistently stored at some storage location named slot on the EVM level. The contract ensures that only legitimate operations can write to sensitive storage locations.
- However, under the Solidity 0.6 version, this restriction can be circumvented caused by the length of an array is capable of modifying. Primarily the result of the underflow of the length of an array whose type is unit is extremely large. So that arbitrary storage is accessible. Hackers can illegitimately modify state variables by elaborately calculating their location.","As general advice, given that all data structures share the same storage (address) space, one should make sure that writes to one data structure cannot inadvertently overwrite entries of another data structure.
- particularly, do not modify the length of an array."
Arithmetic,1,Inappropriate Integer Division before Multiplication,"Performing integer division before multiplication truncates the low bits, losing the precision of the calculation.",Consider ordering multiplication before division.
Arithmetic,2,Integer Overflow,"Overflow is a situation when an unsigned integer reaches its byte size. Then the next element added will return the first variable element. On the contrary, underflow means the preview element will return the last variable element. In Solidity 0.8, the compiler will automatically check for overflow and underflow.","Use solc version above 0.8, or use OpenZeppelin's SafeMath.sol implementation."
Arithmetic,3,Integer Underflow,"Overflow is a situation when an unsigned integer reaches its byte size. Then the next element added will return the first variable element. On the contrary, underflow means the preview element will return the last variable element. In Solidity 0.8, the compiler will automatically check for overflow and underflow.","Use solc version above 0.8, or use OpenZeppelinâ€™s SafeMath.sol implementation."
Arithmetic,4,Unsafe Array Length Assignment,User-controlled variables cannot reach an array length assignment.,User-controlled variables cannot reach an array length assignment.
Block Manipulation,1,Dangerous Usage of `block.timestamp`,Dangerous usage of `block.timestamp`. `block.timestamp` can be manipulated by miners.,Avoid relying on `block.timestamp`.
Block Manipulation,2,Transaction Order Dependency,"In the blockchain system, miners look at transactions they have received and select which transactions to include in a block based on who has paid a high enough gas price. Thus, the transactions may not be finalized into the blockchain based on the order of submission. The transaction order dependency occurs when the code depends on the order of the transactions submitted, which may cause unexpected results.","A possible way to remedy race conditions in submitting information in exchange for a reward is a commit reveal hash scheme. For example, instead of submitting the answer, the party who has the answer submits hash(salt, address, answer) the contract stores this hash and the sender's address. The sender then submits a transaction with the salt and answer to claim the reward. The contract hashes (salt, msg.sender, answer) and checks the hash produced against the stored hash. If the hash matches, the contract releases the reward. Another solution is the fix for the ERC20 race condition, where it adds a field to the approved inputs, which is the expected current value."
